_id,dateOnPi,zUI_FETtemperature,zUI_InWatts_Watts,tempId
1,2016-05-30T01:15:56.737Z,0,0,1464570956.74
2,2016-05-30T01:16:43.627Z,0,0,1464571003.63
3,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
4,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
5,2016-05-30T01:15:56.737Z,0,0,1464570956.74
6,2016-05-30T01:16:43.627Z,0,0,1464571003.63
7,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
8,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
9,2016-05-30T01:15:56.737Z,0,0,1464570956.74
10,2016-05-30T01:16:43.627Z,0,0,1464571003.63
11,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
20,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
21,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
23,2016-05-30T01:18:16.371Z,0,0,1464571096.37 
