MatchPointShadow,IDname1,IDname3,IDname2,IDname4,BattMonAHefficiency,BatteryTempCompValue,CTime0b,CTime0a,DaysBtwnBulkAbs,zUI_PVVoltsIn_OutputVbatt,RemoteMenuMode,Aux2_a2d_d2a,y8unit_sw_mac3,StatusRoll,ReasonForReset,y2unit_sw_date_year,ForceFlagBitsB,ForceFlagBitsA,Aux1VoltsHiPv,WizBanJrNumeratorSS,GeneralPurpose,DayLogCombCatIndex,Voc_Qualify_Timer_1ms_2,xreserve_4263,zUI_PCBtemperature,xreserve_4267,xreserve_4209,xreserve_4193,zUI_FETtemperature,xreserve_4228,zUI_InV_dispavgVpv,IbattDisplayS,PreVoc,zUI_BaTTtemperature,MaxInputCurrent,y6unit_sw_mac1,WizBanJrAmpHourNEGativeA,MpptMode,VocRD,yUI_Ibatt,ModusControl,BatteryTempPassed,ComboChargeState,WizBanJrAmpHourNEGativeB,WindNumberOfPoes,MppPercentVoc,xreserve_4235,xreserve_4234,FloatVoltagSetPoint,WizBanJrRawCrcAndtemp,xreserve_4230,xreserve_4233,xreserve_4232,wbitAmpHourNetB,CTime2a,xreserve_4140,WindTableToUse,VariMax,SiestaTime,EqualizeIntervalDays,dateOnPi,zUI_BattV_dispavgVbatt,iFlagsROHigh,EqualizeReTryDays,Aux2VoltsHiPv,xreserve_4243,yVbattNominal,yUI_InputVpv,xreserve_4227,xreserve_4225,xreserve_4222,xreserve_4223,xreserve_4188,ReasonForResting,xreserve_4185,xreserve_4184,zAmpHours,xreserve_4364,LifetimeAmpHours,xreserve_4229,PWM_ReadOnly,unitDeviceIdB,AbsorbTime,CTime1b,MinLogCombCatIndex,Aux1VoltsLoPv,BattMonSOC,ClipperCmdVolts,unitDeviceIdA,Aux1VolsLoRel,MinimiumAbsorbTime,AbsorbSetPointVoltag,Aux1VoltsHiRel,ClassicFmePassedBits,BattMonVolts,xreserve_4258,WizBanJrAmpHourNETB,EndAmpsSocMBaddress,Aux1DelayT,VbattOffset,EndingAmpsTimerSec,Voc_Qualify_Timer_1ms_1,EqualizeTime,iFlagsROLow,xreserve_4219,Aux2VoltasHiAbs,xreserve_4194,xreserve_4195,xreserve_4196,NiteMinutesNoPwr,dateOnDevice,y9wbitAmpHourNetA,VpvOffset,BatteryOuputCurrentLimit,WizBangRxBufferTempSh4,WizBangRxBufferTempSh3,WizBangRxBufferTempSh2,WizBangRxBufferTempSh1,AntiClickSenstvt,y3unit_sw_date_month_day,xreserve_4170,zyEndingAmps,Aux1VoltasLoAbs,RebulkTimerSec,Aux1HoldT,RestartTimers,xreserve_4105,WizBanJrCurrent32Signed,NegativeCurrerntAdj,LogValueRead,PvInputCurrent,RestartTimerms,VocLastMeasured,MinVpvTurOn,WizBanJrRawCurrent,LifetimeKwHours1,LifetimeKwHours2,_id,ip2,ip1,xreserve_4281,VpvTargetRd,yEndingSoc,ArcFaultSensitvty,VpvB4TurnOff,SweepIntervaSecs,kWHours,xreserve_4242,RebulkVolts,SweepDepth,VpvTargetWr,SlidingCurrentLimit,FloatTimeTodaySeconds,xreserve_4171,y7unit_sw_mac2,Aux12,zUI_InWatts_Watts,Aux2VoltsHiRel,yVbattRegSetPtTmpComp,EquilizeVoltageSetPOint,AbosrbTime,Aux1VoltsHiAbs,IpvMinusRawPVNegativeCurrent,NoDoubleClickTimer,xreserve_4208,MinSwpVoltage,WizBanJrAmpHourNETA,xreserve_4206,CTime1a,HighestVinputLog,MaximumBatteryTemperatureCompensationVoltage,MinuteLogIntervalSec,xreserve_4144,EnableFlags2,EnableFlags3,MppWLast,LEDmode,WizBanJrAmpHourPOSitiveA,Aux2VoltsLoRel,xreserve_4270,InfoFlagBits2,InfoFlagBits1,flagsRDA,flagsRDB,y4InfoFlagsBits,modbus_Port_registry,WizBanJrCmdS,SietstaAbortVocAdj,xreserve_4274,xreserve_4278,USBcommMODE,y1unit_id,xreserve_4273,Aux2PwmVwidth,WizBanJrAmpHourPOSitiveB,EnableFlagsBits,MinimumBatteryTemperatrueCompensationVoltage
0,19523,18771,21313,67,41,50,1298,15,0,137,0,0,24605,5554,11,2015,0,0,1400,0,0,0,177,30,521,38,0,0,438,48,636,14,656,264,990,29412,0,11,664,52,0,32768,1284,0,0,0,0,528,136,0,584,636,0,0,478,14,0,357,20072,0,2016-06-04T18:00:03.291Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11461,315,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,868,3600,526,65522,900,0,0,0,0,2016-07-05T02:00:15Z,0,0,960,0,0,0,0,50,2839,19,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063203,26370,6572,0,584,5,202,0,3,1,11601,80,10,1347,960,10265,0,3840,20993,19,50,136,143,7200,600,0,11461,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,19,0,137,0,0,24605,12288,11,2015,0,0,1400,0,0,0,177,28,519,38,0,0,439,48,636,15,656,264,990,29412,0,11,664,54,0,32768,1284,0,0,0,0,528,136,0,584,636,0,0,478,15,0,357,20076,0,2016-06-04T18:00:07.217Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11465,318,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,4792,3600,526,65521,900,0,0,0,0,2016-07-05T02:00:19Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,3,1,668,162,0,21,0,1465063207,26370,6572,0,584,5,202,0,3,1,11605,80,10,1347,960,10269,0,3840,20993,20,50,136,143,7200,600,0,11465,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,130,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,23,0,136,0,0,24605,20498,11,2015,0,0,1400,0,0,0,177,28,521,37,0,0,439,48,636,15,656,264,990,29412,0,11,664,55,0,32768,1283,0,0,0,0,528,136,0,584,636,0,0,478,15,0,357,20080,0,2016-06-04T18:00:11.217Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11469,319,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,8790,3600,526,65520,900,0,0,0,0,2016-07-05T02:00:23Z,0,0,960,0,0,0,0,50,2839,21,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063211,26370,6572,0,584,5,202,0,3,1,11609,80,10,1347,960,10273,0,3840,20993,20,50,136,143,7200,600,0,11469,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,656,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,30,0,137,0,0,24605,29877,11,2015,0,0,1400,0,0,0,177,28,519,37,0,0,439,48,635,15,656,264,990,29412,0,11,664,54,0,32768,1283,0,0,0,0,528,136,0,584,636,0,0,478,15,0,101,20084,0,2016-06-04T18:00:15.191Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11473,319,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,12761,3600,526,65521,900,0,0,0,0,2016-07-05T02:00:30Z,0,0,960,0,0,0,0,50,2839,21,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063215,26370,6572,0,584,5,202,0,3,1,11613,80,10,1347,960,10277,0,3840,20993,20,50,136,143,7200,600,0,11473,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,34,0,137,0,0,24605,36864,11,2015,0,0,1400,0,0,0,177,28,519,38,0,0,438,48,636,15,656,264,990,29412,0,11,664,54,0,32768,1284,0,0,0,0,528,136,0,584,635,0,0,478,15,0,357,20088,0,2016-06-04T18:00:19.187Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11477,318,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,16754,3600,526,65521,900,0,0,0,0,2016-07-05T02:00:34Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063219,26370,6572,0,584,5,202,0,3,1,11617,80,10,1347,960,10281,0,3840,20993,20,50,136,143,7200,600,0,11477,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,656,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,38,0,137,0,0,24605,0,11,2015,0,0,1400,0,0,0,177,29,519,39,0,0,439,48,636,14,656,264,990,29412,0,11,664,56,0,32768,1283,0,0,0,0,528,136,0,584,636,0,0,478,14,0,357,20092,0,2016-06-04T18:00:23.287Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11481,317,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,20853,3600,526,65522,900,0,0,0,0,2016-07-05T02:00:38Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063223,26370,6572,0,584,5,202,0,3,1,11621,80,10,1347,960,10285,0,3840,20993,19,50,136,143,7200,600,0,11481,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,42,0,137,0,0,24605,9650,11,2015,0,0,1400,0,0,0,177,27,519,38,0,0,438,48,636,15,656,264,990,29412,0,11,664,54,0,32768,1283,0,0,0,0,528,136,0,584,636,0,0,478,15,0,357,20096,0,2016-06-04T18:00:27.210Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11485,319,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,24773,3600,526,65521,900,0,0,0,0,2016-07-05T02:00:42Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,3,1,668,162,0,21,0,1465063227,26370,6572,0,584,5,202,0,3,1,11625,80,10,1347,960,10289,0,3840,20993,20,50,136,143,7200,600,0,11485,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,46,0,137,0,0,24605,18400,11,2015,0,0,1400,0,0,0,177,25,519,37,0,0,439,48,635,17,656,264,990,29412,0,11,664,58,0,32768,1283,0,0,0,0,528,136,0,584,635,0,0,478,17,0,101,20100,0,2016-06-04T18:00:31.220Z,137,0,0,1400,180,12,634,40,3,0,65532,0,5,0,95,13,0,0,11489,326,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,28781,3600,526,65517,900,0,0,0,0,2016-07-05T02:00:46Z,0,0,960,0,0,0,0,50,2839,21,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063231,26370,6572,0,584,5,202,0,3,1,11629,80,10,1347,960,10293,0,3840,20993,23,50,136,143,7200,600,0,11489,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,134,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,50,0,137,0,0,24605,24576,11,2015,0,0,1400,0,0,0,177,29,521,39,0,0,439,48,635,14,656,264,990,29412,0,11,664,54,0,32768,1284,0,0,0,0,528,136,0,584,636,0,0,478,14,0,357,20104,0,2016-06-04T18:00:35.190Z,137,0,0,1400,180,12,636,40,3,0,65532,0,5,0,95,13,0,0,11493,317,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,32748,3600,526,65522,900,0,0,0,0,2016-07-05T02:00:50Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063235,26370,6572,0,584,5,202,0,3,1,11633,80,10,1347,960,10297,0,3840,20993,19,50,136,143,7200,600,0,11493,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,132,150,0,1174,0,1,0,65,132
0,19523,18771,21313,67,41,50,1298,54,0,137,0,0,24605,32828,11,2015,0,0,1400,0,0,0,177,26,521,37,0,0,438,48,635,16,656,264,990,29412,0,11,664,57,0,32768,1283,0,0,0,0,528,136,0,584,635,0,0,478,16,0,357,20108,0,2016-06-04T18:00:39.191Z,137,0,0,1400,180,12,634,40,3,0,65532,0,5,0,95,13,0,0,11497,325,32813,7200,2016,0,1200,40,638,13832,65516,0,143,10,0,94,1458,0,400,1,0,0,36748,3600,526,65518,900,0,0,0,0,2016-07-05T02:00:54Z,0,0,960,0,0,0,0,50,2839,20,0,100,0,10,1,0,0,8,0,4,1,668,162,0,21,0,1465063239,26370,6572,0,584,5,202,0,3,1,11637,80,10,1347,960,10301,0,3840,20993,21,50,136,143,7200,600,0,11497,584,100,0,0,1797,1458,146,300,0,18624,0,48,1,0,65516,0,45568,12292,9216,720,10,502,53,20,134,150,0,1174,0,1,0,65,132
